Group,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Image,Description,Location,Latitude,Longitude
Setting,,green,white,,An open Place.,,Act I Scene I,An open Place.,57.6157,-3.5977
Setting,,green,white,,A Camp near Forres.,,Act I Scene II,A Camp near Forres.,57.611189,-3.605144
Setting,,green,white,,A heath.,media/MacbethAndBanquo-Witches.jpg,Act I Scene III,A heath.,57.6157,-3.5977
Setting,,green,white,,Forres. A Room in the Palace.,,Act I Scene IV,Forres. A Room in the Palace.,57.608187,-3.6181784
Setting,,green,white,,Inverness. A Room in Macbeth’s Castle.,media/Jacobite_broadside_-_Castle_of_Inverness..jpg,Act I Scene V,Inverness. A Room in Macbeth’s Castle.,57.4765361,-4.22535
Setting,,green,white,,The same. Before the Castle.,,Act I Scene VI,The same. Before the Castle.,57.475509,-4.225489
Setting,,green,white,,The same. A Lobby in the Castle.,,Act I Scene VII,The same. A Lobby in the Castle.,57.4765361,-4.22535
Setting,,green,white,,Inverness. Court within the Castle.,,Act II Scene I,Inverness. Court within the Castle.,57.4765361,-4.22535
Setting,,green,white,,The same.,,Act II Scene II,The same.,57.4765361,-4.22535
Setting,,green,white,,The same.,,Act II Scene III,The same.,57.4765361,-4.22535
Setting,,green,white,,The same. Without the Castle.,,Act II Scene IV,The same. Without the Castle.,57.4771472,-4.2213584
Setting,,green,white,,Forres. A Room in the Palace.,,Act III Scene I,Forres. A Room in the Palace.,57.608187,-3.6181784
Setting,,green,white,,The same. Another Room in the Palace.,,Act III Scene II,The same. Another Room in the Palace.,57.608187,-3.6181784
Setting,,green,white,,"The same. A Park or Lawn, with a gate leading to the Palace.",,Act III Scene III ,"The same. A Park or Lawn, with a gate leading to the Palace.",57.608187,-3.6181784
Setting,,green,white,,The same. A Room of state in the Palace.,,Act III Scene IV,The same. A Room of state in the Palace.,57.608187,-3.6181784
Setting,,green,white,,The heath.,,Act III Scene V,The heath.,57.6157,-3.5977
Setting,,green,white,,Forres. A Room in the Palace.,,Act III Scene VI,Forres. A Room in the Palace.,57.608187,-3.6181784
Setting,,green,white,,"A dark Cave. In the middle, a Cauldron Boiling","media/Three_Witches_(scene_from_Macbeth)_by_William_Rimmer.jpg#:~:text=media,scene_from_Macbeth)_by_William_Rimmer.jpg",Act IV Scene I,"A dark Cave. In the middle, a Cauldron Boiling",56.161227,-3.058786
Setting,,green,white,,Fife. A Room in Macduff’s Castle.,,Act IV Scene II,Fife. A Room in Macduff’s Castle.,56.162426,-3.057957
Setting,,green,white,,England. Before the King’s Palace.,,Act IV Scene III,England. Before the King’s Palace.,51.6149,0.17685
Setting,,green,white,,Dunsinane. A Room in the Castle.,media/Johann_Heinrich_Füssli_030.jpg,Act V Scene I,Dunsinane. A Room in the Castle.,56.4704,-3.278
Setting,,green,white,,The Country near Dunsinane.,,Act V Scene II,The Country near Dunsinane.,56.533836,-3.708264
Setting,,green,white,,Dunsinane. A Room in the Castle.,,Act V Scene III,Dunsinane. A Room in the Castle.,56.4704,-3.278
Setting,,green,white,,Country near Dunsinane: a Wood in view.,media/Battle_of_Dunsinane_-_John_Martin.jpg,Act V Scene IV,Country near Dunsinane: a Wood in view.,56.5609,-3.5766
Setting,,green,white,,Dunsinane. Within the castle.,,Act V Scene V,Dunsinane. Within the castle.,56.4704,-3.278
Setting,,green,white,,The same. A Plain before the Castle.,,Act V Scene VI,The same. A Plain before the Castle.,56.473904,-3.287853
Setting,,green,white,,The same. Another part of the Plain.,,Act V Scene VII,The same. Another part of the Plain.,56.48208,-3.289398
Setting,,green,white,,The same. Another part of the field.,,Act V Scene VIII,The same. Another part of the field.,56.482838,-3.277725